Name,Phone,Website,Type,BillingStreet,BillingCity,BillingState,BillingCountry,BillingPostalCode,Description
ABC Engineering College,022-25478961,www.abcengg.edu,College,123 Andheri East,Mumbai,Maharashtra,India,400093,Leading engineering college offering BTech and MTech programs
Delhi Institute of Technology,011-45672389,www.dit.edu,College,Sector 16 Rohini,Delhi,Delhi,India,110089,Premier technology institute with 5000+ students
Pune University Campus,020-25674321,www.puneuni.ac.in,University,Ganeshkhind,Pune,Maharashtra,India,411007,State university with affiliated colleges across Maharashtra
St. Xavier's College Mumbai,022-22621576,www.xaviers.edu,College,5 Mahapalika Marg,Mumbai,Maharashtra,India,400001,Historic college known for commerce and science streams
Bangalore Business School,080-26547891,www.bbs.edu.in,Business School,OPR Road,Bangalore,Karnataka,India,560068,Top-ranked B-school with MBA and executive programs
Madras Christian College,044-28275901,www.mcc.edu.in,College,Tambaram,Chennai,Tamil Nadu,India,600059,Autonomous college affiliated with University of Madras
Amity University Noida,0120-4713600,www.amity.edu,University,Sector 125,Noida,Uttar Pradesh,India,201303,Multi-disciplinary private university
Christ University Bangalore,080-40129200,www.christuniversity.in,University,Hosur Road,Bangalore,Karnataka,India,560029,Deemed university with undergraduate and postgraduate programs
SRM Institute of Technology,044-27417000,www.srmist.edu.in,University,Kattankulathur,Chennai,Tamil Nadu,India,603203,Private deemed university known for engineering
Loyola College Hyderabad,040-23544732,www.loyolacollege.edu,College,6-3-661 Somajiguda,Hyderabad,Telangana,India,500082,Minority institution with NAAC A+ accreditation
KIIT University Bhubaneswar,0674-2725113,www.kiit.ac.in,University,Patia,Bhubaneswar,Odisha,India,751024,Deemed to be university with 15000+ students
Manipal Academy of Higher Education,0820-2922400,www.manipal.edu,University,Madhav Nagar,Manipal,Karnataka,India,576104,Institute of Eminence with global collaborations
Vellore Institute of Technology,0416-2202000,www.vit.ac.in,University,Vellore Campus,Vellore,Tamil Nadu,India,632014,Private deemed university with 25000+ students
University of Calcutta,033-22410071,www.caluniv.ac.in,University,College Street,Kolkata,West Bengal,India,700073,Public state university established in 1857
Gujarat University Ahmedabad,079-26301341,www.gujaratuniversity.ac.in,University,Navrangpura,Ahmedabad,Gujarat,India,380009,Public university with 300+ affiliated colleges
Jamia Millia Islamia Delhi,011-26981717,www.jmi.ac.in,University,Jamia Nagar,Delhi,Delhi,India,110025,Central university with NAAC A+ grade
BITS Pilani,01596-242205,www.bits-pilani.ac.in,University,Vidya Vihar Campus,Pilani,Rajasthan,India,333031,Deemed university with institutes across India
Thapar Institute Patiala,0175-2393021,www.thapar.edu,University,Bhadson Road,Patiala,Punjab,India,147004,Deemed university specializing in engineering and technology
Anna University Chennai,044-22357085,www.annauniv.edu,University,Sardar Patel Road,Chennai,Tamil Nadu,India,600025,State technical university
University of Mumbai,022-22754100,www.mu.ac.in,University,Fort Campus,Mumbai,Maharashtra,India,400032,Public state university with 700+ affiliated colleges
Jadavpur University Kolkata,033-24572000,www.jaduniv.edu.in,University,188 Raja SC Mallick Road,Kolkata,West Bengal,India,700032,State university with NAAC A++ grade
National Institute of Technology Trichy,0431-2500133,www.nitt.edu,University,Tanjore Main Road,Trichy,Tamil Nadu,India,620015,Institute of National Importance under NIT Act
Symbiosis International University,020-25676001,www.siu.edu.in,University,Lavale,Pune,Maharashtra,India,412115,Multi-disciplinary university with 40+ institutes
University of Hyderabad,040-23132102,www.uohyd.ac.in,University,Prof CR Rao Road,Hyderabad,Telangana,India,500046,Central university with NAAC A+ grade
IIT Kharagpur,03222-255221,www.iitkgp.ac.in,University,Kharagpur,West Bengal,India,721302,Institute of National Importance - IIT System
